UniProt/SwissProt Accession	HGNC symbol
O60812	HNRNPCL1
Q9UQC2	GAB2
Q9H171	ZBP1
P18054	ALOX12
Q5VZ52	MORN5
P13051	UNG
O60811	PRAMEF2
Q3MIT2	PUS10
Q3MIT2	PUS10
O60810	PRAMEF4
Q9H244	P2RY12
Q6PGN9	PSRC1
Q5T4S7	UBR4
P62820	RAB1A
Q6PGN9	PSRC1
P19971	TYMP
P19971	TYMP
Q6WRI0	IGSF10
P19971	TYMP
O95393	BMP10
Q6UXF7	CLEC18B
Q969W9	PMEPA1
Q86XP6	GKN2
A2RUH7	MYBPHL
P35080	PFN2
Q6WN34	CHRDL2
P46695	IER3
A8MYP8	ODF3B
A8MYP8	ODF3B
Q6P093	AADACL2
Q8TAG9	EXOC6
Q9H1P6	C20orf85
Q9NS71	GKN1
Q9BZ19	ANKRD60
O43164	PJA2
Q9UPM6	LHX6
O43164	PJA2
Q9UPM6	LHX6
P61160	ACTR2
Q99679	GPR21
Q9UPM6	LHX6
Q99523	SORT1
Q99679	GPR21
Q92968	PEX13
Q70EL4	USP43
Q96I59	NARS2
Q400G9	AMZ1
A6NNS2	DHRS7C
P48556	PSMD8
Q96G42	KLHDC7B
Q86UU5	GGN
A1L190	C22orf41
A1L190	C22orf41
Q2MJR0	SPRED3
Q17RN3	FAM98C
O95838	GLP2R
P54105	CLNS1A
Q96SI9	STRBP
P35573	AGL
P35573	AGL
P35573	AGL
P35573	AGL
Q92523	CPT1B
Q92523	CPT1B
P35243	RCVRN
Q9BRP1	PDCD2L
Q92523	CPT1B
Q7Z698	SPRED2
Q13535	ATR
Q9Y5Z7	HCFC2
Q9UBT2	UBA2
Q8TDF6	RASGRP4
Q96SI9	STRBP
Q92523	CPT1B
O75157	TSC22D2
Q08345	DDR1
Q92523	CPT1B
A6NIX2	WTIP
Q4G0G5	SCGBL
Q08345	DDR1
O60861	GAS7
Q9NUJ7	PLCXD1
Q9NUJ7	PLCXD1
Q16706	MAN2A1
Q08345	DDR1
Q6NSI8	KIAA1841
P25208	NFYB
Q9NUJ7	PLCXD1
Q9NUJ7	PLCXD1
Q9UL26	RAB22A
O00763	ACACB
Q9H1K1	ISCU
P20929	NEB
P28066	PSMA5
Q9NUJ7	PLCXD1
Q9NUJ7	PLCXD1
Q08345	DDR1
Q6NSI8	KIAA1841
Q6NSI8	KIAA1841
O95292	VAPB
P22760	AADAC
O43824	GTPBP6
O43824	GTPBP6
Q8NCL9	APCDD1L
Q8NCN4	RNF169
Q02153	GUCY1B3
O00470	MEIS1
O60809	PRAMEF10
Q03113	GNA12
Q9Y5P8	PPP2R3B
Q9Y5P8	PPP2R3B
O14662	STX16
O14662	STX16
Q9P016	THYN1
Q9P016	THYN1
Q9P016	THYN1
Q08345	DDR1
Q08345	DDR1
P49407	ARRB1
Q9H6X2	ANTXR1
P21817	RYR1
Q5VXH5	PRAMEF7
Q5VXH5	PRAMEF7
Q2M3W8	ZNF181
O15266	SHOX
O15266	SHOX
Q6P2D8	XRRA1
Q9BXA5	SUCNR1
Q6P5S7	RNASEK
Q9BXL7	CARD11
Q9HC73	CRLF2
Q9HC73	CRLF2
P27487	DPP4
Q6V0L0	CYP26C1
Q5VXT5	SYPL2
Q9Y259	CHKB
Q9Y2D2	SLC35A3
Q9Y6X1	SERP1
Q5VXH4	PRAMEF6
Q9Y2D2	SLC35A3
Q9Y6X1	SERP1
Q5VXH4	PRAMEF6
Q5VXH4	PRAMEF6
A6NMV5	PRAMEF6
Q8NBQ7	AQP11
Q5T6C5	ATXN7L2
Q96NL3	ZNF599
O43174	CYP26A1
A3QJZ6	PRAMEF22
P15509	CSF2RA
P15509	CSF2RA
Q9NR56	MBNL1
Q86UY8	NT5DC3
Q7L1V2	MON1B
P17039	ZNF30
Q8IXM2	C17orf49
P15509	CSF2RA
P15509	CSF2RA
Q9NR56	MBNL1
Q96T23	RSF1
Q8N8Q1	CYB561D1
Q3KQV3	ZNF792
Q8N8Q1	CYB561D1
Q13387	MAPK8IP2
Q5TYW8	PRAMEF3
Q5TYW8	PRAMEF3
A8MZ97	C2orf74
C9JQI7	TMEM232
C9JQI7	TMEM232
Q86WK6	AMIGO1
Q86WK6	AMIGO1
Q8NDH3	NPEPL1
P02675	FGB
Q9UKX3	MYH13
Q9BZJ8	GPR61
Q96CP6	GRAMD1A
Q5TYX0	PRAMEF5
Q9BZJ8	GPR61
